,Title,Company Name,Location,Start Date,Duration,Stipend,Status,Links
27,Business Development (Sales),Indika AI Private Limited,[['Delhi']],Immediately,Starts immediatelyImmediately,"₹ 8,000-10,000 /month",3 weeks ago,https://internshala.com/internship/detail/business-development-sales-internship-in-delhi-at-indika-ai-private-limited1708159535
28,Node.js Development,Employee Forums,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 10,000 /month",3 weeks ago,https://internshala.com/internship/detail/nodejs-development-internship-in-mumbai-at-employee-forums1708171704
29,Brand Marketing,Ayurveda House Private Limited,[['Delhi']],Immediately,Starts immediatelyImmediately,"₹ 8,000-10,000 /month",3 weeks ago,https://internshala.com/internship/detail/brand-marketing-internship-in-delhi-at-ayurveda-house-private-limited1708159128
30,Human Resources (HR),Exa Mobility India Private Limited,[['Pune']],Immediately,Starts immediatelyImmediately,"₹ 10,000-20,000 /month",3 weeks ago,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-exa-mobility-india-private-limited1708159235
31,Architecture,Squareball Interior Concepts,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 5,000-10,000 /month",3 weeks ago,https://internshala.com/internship/detail/architecture-internship-in-bangalore-at-squareball-interior-concepts1708155919
32,Business Development (Sales),Tech Analogy,[['Ahmedabad']],Immediately,Starts immediatelyImmediately,"₹ 15,000-20,000 /month",3 weeks ago,https://internshala.com/internship/detail/business-development-sales-internship-in-ahmedabad-at-tech-analogy1708151941
33,Marketing,Pratap Home Furnishings,[['Nagpur']],Immediately,Starts immediatelyImmediately,"₹ 8,000 /month +  Incentives",3 weeks ago,https://internshala.com/internship/detail/marketing-internship-in-nagpur-at-pratap-home-furnishings1707147557
34,Brand Management,Talent Corner HR Services,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 lump sum",3 weeks ago,https://internshala.com/internship/detail/brand-management-internship-in-mumbai-at-talent-corner-hr-services1708154634
35,Email Marketing Coordination,Talent Corner HR Services,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 lump sum",3 weeks ago,https://internshala.com/internship/detail/email-marketing-coordination-internship-in-mumbai-at-talent-corner-hr-services1708154365
36,International PR & Influencer Marketing (Intern),IB Cricket,[['Hyderabad']],Immediately,Starts immediatelyImmediately,"₹ 20,000-30,000 /month",3 weeks ago,https://internshala.com/internship/detail/international-pr-influencer-marketing-intern-internship-in-hyderabad-at-ib-cricket1708154006
37,Digital Marketing,Talent Corner HR Services,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 lump sum",3 weeks ago,https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-talent-corner-hr-services1708154494
38,Search Engine Optimization (SEO),Talent Corner HR Services,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 lump sum",3 weeks ago,https://internshala.com/internship/detail/search-engine-optimization-seo-internship-in-mumbai-at-talent-corner-hr-services1708154671
39,Copywriting,Talent Corner HR Services,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 lump sum",3 weeks ago,https://internshala.com/internship/detail/copywriting-internship-in-mumbai-at-talent-corner-hr-services1708154607
40,Business Development (Sales),Adbizit,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",3 weeks ago,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-adbizit1707460084
41,Telecalling,Sumeet Kumar,"[['Ajmer', 'Chandigarh', 'Jaipur']]",Immediately,Starts immediatelyImmediately,"₹ 5,000 /month +  Incentives",3 weeks ago,https://internshala.com/internship/detail/telecalling-internship-in-multiple-locations-at-sumeet-kumar1707223606
42,Market Research,Talent Corner HR Services,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",3 weeks ago,https://internshala.com/internship/detail/market-research-internship-in-mumbai-at-talent-corner-hr-services1708085089
43,Business Development,Makedian Softech Solutions Private Limited,[['Noida']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month",3 weeks ago,https://internshala.com/internship/detail/business-development-internship-in-noida-at-makedian-softech-solutions-private-limited1708147133
44,Sales,Relinns Technologies,"[['Chandigarh', 'Mohali', 'Punjab']]",Immediately,Starts immediatelyImmediately,"₹ 8,000 /month",3 weeks ago,https://internshala.com/internship/detail/sales-internship-in-multiple-locations-at-relinns-technologies1708085161
45,Business Development (Sales),Red Art Works (Raw Workspace Solutions Private Limited),[['Jaipur']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",3 weeks ago,https://internshala.com/internship/detail/business-development-sales-internship-in-jaipur-at-red-art-works-raw-workspace-solutions-private-limited1708076245
46,HR Generalist,Ocean Techventures Pvt. Ltd.,[['Noida']],Immediately,Starts immediatelyImmediately,"₹ 8,000 /month",3 weeks ago,https://internshala.com/internship/detail/hr-generalist-internship-in-noida-at-ocean-techventures-pvt-ltd1708003005
47,Sales,Jayshri Gayatri Food Products Private Limited,"[['Lucknow', 'Allahabad', 'Kanpur Dehat']]",Immediately,Starts immediatelyImmediately,"₹ 8,000 /month",3 weeks ago,https://internshala.com/internship/detail/sales-internship-in-multiple-locations-at-jayshri-gayatri-food-products-private-limited1707964976
48,Junior Marketing Assistant,Talent Corner HR Services,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",3 weeks ago,https://internshala.com/internship/detail/junior-marketing-assistant-internship-in-mumbai-at-talent-corner-hr-services1708085135
49,Content Writing,Talent Corner HR Services,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",1 day ago,https://internshala.com/internship/detail/content-writing-internship-in-mumbai-at-talent-corner-hr-services1708081609
50,Media & Public Relations (PR),Talent Corner HR Services,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",1 day ago,https://internshala.com/internship/detail/media-public-relations-pr-internship-in-mumbai-at-talent-corner-hr-services1708081580
51,Content Marketing,UniAcco,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",1 day ago,https://internshala.com/internship/detail/content-marketing-internship-in-mumbai-at-uniacco1708080863
